GEO_ID,NAME,S1502_C01_001E
36001,"Albany County, New York",93623
36003,"Allegany County, New York",6716
36005,"Bronx County, New York",200891
36007,"Broome County, New York",38078
36009,"Cattaraugus County, New York",10620
36011,"Cayuga County, New York",12338
36013,"Chautauqua County, New York",20915
36015,"Chemung County, New York",14256
36017,"Chenango County, New York",6210
36019,"Clinton County, New York",14002
36021,"Columbia County, New York",16415
36023,"Cortland County, New York",8274
36025,"Delaware County, New York",7586
36027,"Dutchess County, New York",78716
36029,"Erie County, New York",240472
36031,"Essex County, New York",8817
36033,"Franklin County, New York",7418
36035,"Fulton County, New York",7085
36037,"Genesee County, New York",9197
36039,"Greene County, New York",9253
36041,"Hamilton County, New York",816
36043,"Herkimer County, New York",9220
36045,"Jefferson County, New York",18194
36047,"Kings County, New York",741880
36049,"Lewis County, New York",3491
36051,"Livingston County, New York",12150
36053,"Madison County, New York",12216
36055,"Monroe County, New York",209945
36057,"Montgomery County, New York",6585
36059,"Nassau County, New York",460743
36061,"New York County, New York",801081
36063,"Niagara County, New York",40182
36065,"Oneida County, New York",42105
36067,"Onondaga County, New York",118738
36069,"Ontario County, New York",29828
36071,"Orange County, New York",80054
36073,"Orleans County, New York",5120
36075,"Oswego County, New York",16735
36077,"Otsego County, New York",13234
36079,"Putnam County, New York",29267
36081,"Queens County, New York",587052
36083,"Rensselaer County, New York",39039
36085,"Richmond County, New York",120174
36087,"Rockland County, New York",87754
36089,"St. Lawrence County, New York",16962
36091,"Saratoga County, New York",72252
36093,"Schenectady County, New York",36330
36095,"Schoharie County, New York",4995
36097,"Schuyler County, New York",3237
36099,"Seneca County, New York",5260
36101,"Steuben County, New York",17009
36103,"Suffolk County, New York",407900
36105,"Sullivan County, New York",14952
36107,"Tioga County, New York",8968
36109,"Tompkins County, New York",34348
36111,"Ulster County, New York",46012
36113,"Warren County, New York",16291
36115,"Washington County, New York",9286
36117,"Wayne County, New York",15885
36119,"Westchester County, New York",351129
36121,"Wyoming County, New York",5361
36123,"Yates County, New York",4050