GEO_ID,NAME,DATE_CODE,DATE_DESC,POP,S1502_C01_001E,RATIO,1_RATIO
36001,"Albany County, New York",12,7/1/2019 population estimate,305506,93623,31,31
36003,"Allegany County, New York",12,7/1/2019 population estimate,46091,6716,15,15
36005,"Bronx County, New York",12,7/1/2019 population estimate,1418207,200891,14,14
36007,"Broome County, New York",12,7/1/2019 population estimate,190488,38078,20,20
36009,"Cattaraugus County, New York",12,7/1/2019 population estimate,76117,10620,14,14
36011,"Cayuga County, New York",12,7/1/2019 population estimate,76576,12338,16,16
36013,"Chautauqua County, New York",12,7/1/2019 population estimate,126903,20915,16,16
36015,"Chemung County, New York",12,7/1/2019 population estimate,83456,14256,17,17
36017,"Chenango County, New York",12,7/1/2019 population estimate,47207,6210,13,13
36019,"Clinton County, New York",12,7/1/2019 population estimate,80485,14002,17,17
36021,"Columbia County, New York",12,7/1/2019 population estimate,59461,16415,28,28
36023,"Cortland County, New York",12,7/1/2019 population estimate,47581,8274,17,17
36025,"Delaware County, New York",12,7/1/2019 population estimate,44135,7586,17,17
36027,"Dutchess County, New York",12,7/1/2019 population estimate,294218,78716,27,27
36029,"Erie County, New York",12,7/1/2019 population estimate,918702,240472,26,26
36031,"Essex County, New York",12,7/1/2019 population estimate,36885,8817,24,24
36033,"Franklin County, New York",12,7/1/2019 population estimate,50022,7418,15,15
36035,"Fulton County, New York",12,7/1/2019 population estimate,53383,7085,13,13
36037,"Genesee County, New York",12,7/1/2019 population estimate,57280,9197,16,16
36039,"Greene County, New York",12,7/1/2019 population estimate,47188,9253,20,20
36041,"Hamilton County, New York",12,7/1/2019 population estimate,4416,816,18,18
36043,"Herkimer County, New York",12,7/1/2019 population estimate,61319,9220,15,15
36045,"Jefferson County, New York",12,7/1/2019 population estimate,109834,18194,17,17
36047,"Kings County, New York",12,7/1/2019 population estimate,2559903,741880,29,29
36049,"Lewis County, New York",12,7/1/2019 population estimate,26296,3491,13,13
36051,"Livingston County, New York",12,7/1/2019 population estimate,62914,12150,19,19
36053,"Madison County, New York",12,7/1/2019 population estimate,70941,12216,17,17
36055,"Monroe County, New York",12,7/1/2019 population estimate,741770,209945,28,28
36057,"Montgomery County, New York",12,7/1/2019 population estimate,49221,6585,13,13
36059,"Nassau County, New York",12,7/1/2019 population estimate,1356924,460743,34,34
36061,"New York County, New York",12,7/1/2019 population estimate,1628706,801081,49,49
36063,"Niagara County, New York",12,7/1/2019 population estimate,209281,40182,19,19
36065,"Oneida County, New York",12,7/1/2019 population estimate,228671,42105,18,18
36067,"Onondaga County, New York",12,7/1/2019 population estimate,460528,118738,26,26
36069,"Ontario County, New York",12,7/1/2019 population estimate,109777,29828,27,27
36071,"Orange County, New York",12,7/1/2019 population estimate,384940,80054,21,21
36073,"Orleans County, New York",12,7/1/2019 population estimate,40352,5120,13,13
36075,"Oswego County, New York",12,7/1/2019 population estimate,117124,16735,14,14
36077,"Otsego County, New York",12,7/1/2019 population estimate,59493,13234,22,22
36079,"Putnam County, New York",12,7/1/2019 population estimate,98320,29267,30,30
36081,"Queens County, New York",12,7/1/2019 population estimate,2253858,587052,26,26
36083,"Rensselaer County, New York",12,7/1/2019 population estimate,158714,39039,25,25
36085,"Richmond County, New York",12,7/1/2019 population estimate,476143,120174,25,25
36087,"Rockland County, New York",12,7/1/2019 population estimate,325789,87754,27,27
36089,"St. Lawrence County, New York",12,7/1/2019 population estimate,107740,16962,16,16
36091,"Saratoga County, New York",12,7/1/2019 population estimate,229863,72252,31,31
36093,"Schenectady County, New York",12,7/1/2019 population estimate,155299,36330,23,23
36095,"Schoharie County, New York",12,7/1/2019 population estimate,30999,4995,16,16
36097,"Schuyler County, New York",12,7/1/2019 population estimate,17807,3237,18,18
36099,"Seneca County, New York",12,7/1/2019 population estimate,34016,5260,15,15
36101,"Steuben County, New York",12,7/1/2019 population estimate,95379,17009,18,18
36103,"Suffolk County, New York",12,7/1/2019 population estimate,1476601,407900,28,28
36105,"Sullivan County, New York",12,7/1/2019 population estimate,75432,14952,20,20
36107,"Tioga County, New York",12,7/1/2019 population estimate,48203,8968,19,19
36109,"Tompkins County, New York",12,7/1/2019 population estimate,102180,34348,34,34
36111,"Ulster County, New York",12,7/1/2019 population estimate,177573,46012,26,26
36113,"Warren County, New York",12,7/1/2019 population estimate,63944,16291,25,25
36115,"Washington County, New York",12,7/1/2019 population estimate,61204,9286,15,15
36117,"Wayne County, New York",12,7/1/2019 population estimate,89918,15885,18,18
36119,"Westchester County, New York",12,7/1/2019 population estimate,967506,351129,36,36
36121,"Wyoming County, New York",12,7/1/2019 population estimate,39859,5361,13,13
36123,"Yates County, New York",12,7/1/2019 population estimate,24913,4050,16,16